graph_id,label,feat
71,0,600.43;2.23;11.69;7.47;3.22;0.4;12.65;6.14;3.93
72,0,568.1;2.44;11.69;7.28;3.26;0.2;12.96;6.3;3.58
73,0,646.91;2.21;11.5;6.82;2.83;1.9;9.65;5.16;3.19
74,0,597.23;2.92;11.69;6.81;3.19;2.3;12.96;6.1;4.21
75,0,606.01;2.1;11.69;7.14;3.15;2.3;12.96;6.36;3.82
76,0,559.5;2.85;11.91;7.83;3.27;0.1;12.96;6.25;3.47
77,0,563.38;2.75;11.83;7;3.3;0.6;12.96;6;3.4
78,0,583.67;2.97;11.69;6.49;2.99;0.4;12.96;4.98;3.62
79,0,595.61;3;11.75;6.9;3.21;0.1;12.87;6.24;4.2
80,0,563.7;3;11.83;7.64;3.08;0.2;13.16;6.02;3.43
81,0,730.04;2.07;11.8;5.85;2.84;1.2;18.25;6.26;6.02
82,0,692.9;2.91;11.76;6.86;3.1;3.6;13.09;6.57;5.2
83,0,609.1;3;11.69;7.68;2.92;2.3;10.82;6.24;3.45
84,0,617.23;3;11.69;7.5;3.2;2.5;12.96;6.98;3.79
85,0,642.16;2.6;11.66;7.19;2.86;2.4;10.13;5.88;3.68
86,0,591.17;3;11.69;7.53;2.83;1.4;9.93;6.1;3.04
87,0,584.27;2;11.93;7.35;3.5;1.2;8.56;5.23;2.65
88,0,637.88;3;11.16;6.73;2.61;0.3;13.98;6.12;4.7
89,0,619.68;3;11.72;7.09;3.08;0.8;12.96;6.35;4.33
90,0,655.22;3;11.69;7.59;2.8;1;12.96;6.5;4.48
91,0,655.34;3;11.69;7.74;3.22;0.2;12.96;6.59;4.63
92,0,580.37;2.56;11.69;6.94;2.98;0.8;12.96;6.14;3.76
93,0,559.5;3;11.77;7.18;2.99;0.1;12.96;6.03;3.32
94,0,602.08;2.12;11.92;7.78;3.38;0.4;12.96;6.29;3.84
95,0,654.59;3;11.69;7.15;2.79;1.4;12.96;6.51;4.56
96,0,601.33;2.7;11.92;6.88;3.32;1.4;12.96;6.23;4.05
97,0,692.84;2.12;11.66;6.42;2.78;0.3;9.44;4.85;4.03
98,0,568.68;2.6;11.69;7.04;3.1;1;12.96;6.04;3.43
99,0,568.21;2.28;11.96;7.44;3.15;0.4;9.65;5.61;2.96
100,0,616.82;2.02;11.04;6.47;3.13;0.8;9.65;5.83;3.87
101,0,675.18;3;11.8;7.78;3.07;0.2;17.83;6.62;5.4
102,0,633.36;2.14;11.89;7.29;3.03;0.9;12.96;6.26;4.44
103,0,699.91;3;11.73;7.11;3.35;1.7;14.25;6.22;4.71
104,0,576.87;2.63;11.69;6.97;2.97;1.5;12.96;6.09;3.64
105,0,609.65;3;11.98;7.45;3.01;1.5;16.45;6.42;4.73
106,0,598.61;3;11.69;7.23;2.68;0.8;12.96;6.32;3.92
107,0,711.35;2.55;10.94;6.42;2.75;0.8;15.28;5.11;5
108,0,690.28;2.09;11.98;6.87;3.36;0.7;11.48;5.58;4.35
109,0,644.66;3;11.69;7.53;2.8;1.4;12.96;6.45;4.36
110,0,623.13;3;11.94;7.21;2.76;1.5;12.96;6.38;4.22
111,0,781.12;2.05;11.59;6.3;2.94;1.3;13.07;5.58;5.11
112,0,574.88;3;11.69;7.06;2.78;0.8;12.96;6.21;3.61
113,0,659.93;3;11.69;7.48;2.99;1.4;17.35;6.7;5.4
114,0,589.55;3;11.6;7.28;2.96;1.4;9.65;5.62;3.09
115,0,570.79;3;11.65;6.99;2.8;0.1;12.87;6.22;3.71
116,0,670.44;2.8;11.69;7.17;2.86;0.6;12.97;6.57;4.77
117,0,642.03;3;11.69;7.52;2.85;0.1;12.96;6.54;4.46
118,0,565.67;2.23;11.69;7.01;2.87;1.39;12.96;5.25;3.25
119,0,632.41;3;10.76;6.56;2.55;1.2;14.01;6.1;4.49
120,0,599.84;3;11.89;6.84;3.17;0.1;13.05;6.27;4.34
121,0,655.95;2.45;11.88;6.92;3.61;2.5;13.05;6.49;4.77
122,0,644.47;3;11.92;7.02;3.24;2.3;12.96;6.45;4.52
123,0,673.81;3;11.69;6.88;3.13;3.4;12.96;6.5;4.93
124,0,638.92;2.88;11.64;7.33;2.98;0.7;15.96;6.27;4.77
